id,title,authors,subjects,bookshelves,languages,download_count,media_type,copyright
26064,Problems of Expansion: As Considered in Papers and Addresses,"Reid, Whitelaw",United States -- Colonial question,"Category: Essays, Letters & Speeches; Category: History - American; Category: Politics",en,225,Text,False
26736,Stories of Many Lands,"Greenwood, Grace",Charades; Children's poetry; Children's stories,Category: Children & Young Adult Reading; Category: Short Stories,en,225,Text,False
26965,"Heroes and Hunters of the West: Comprising Sketches and Adventures of Boone, Kenton, Brady, Logan, Whetzel, Fleehart, Hughes, Johnson, &c.","Frost, John",Frontier and pioneer life -- Ohio River Valley; Indian captivities,Category: History - American,en,225,Text,False
28575,"A terminal market system, New York's most urgent need : $b some observations, comments, and comparisons of European markets","Black, Madeleine",Markets; Markets -- New York (State) -- New York,Category: Economics; Category: History - American,en,225,Text,False
28966,A Dear Little Girl at School,"Blanchard, Amy Ella",Children -- Conduct of life -- Juvenile fiction; Girls -- Juvenile fiction; Schools -- Juvenile fiction,Category: Children & Young Adult Reading; Category: Novels,en,225,Text,False
28990,The Book of Saints and Friendly Beasts,"Brown, Abbie Farwell",Animals -- Folklore; Christian saints -- Legends,"Category: Children & Young Adult Reading; Category: Mythology, Legends & Folklore",en,225,Text,False
31495,The Wailing Octopus: A Rick Brant Science-Adventure Story,"Goodwin, Harold L. (Harold Leland)",Scuba diving -- Juvenile fiction; Spies -- Juvenile fiction; Treasure troves -- Juvenile fiction; Virgin Islands -- Juvenile fiction,Category: Adventure; Category: Children & Young Adult Reading; Category: Novels; Category: Science-Fiction & Fantasy,en,225,Text,False
31839,John Brown: An Address at the 14th Anniversary of Storer College,"Douglass, Frederick","Brown, John, 1800-1859","African American Writers; Category: Essays, Letters & Speeches; Category: History - American",en,225,Text,False
33147,"Harper's Round Table, October 1, 1895",Various,Children's periodicals,Category: Adventure; Category: Children & Young Adult Reading; Category: Journals; Harper's Young People,en,225,Text,False
34558,Defending the Island: A story of Bar Harbor in 1758,"Otis, James","Mount Desert Island (Me.) -- History -- Colonial period, ca. 1600-1775 -- Juvenile fiction",Category: Adventure; Category: American Literature; Category: Children & Young Adult Reading; Category: Historical Novels,en,225,Text,False
34830,Little Frankie and his Mother,"Leslie, Madeline",Brothers -- Juvenile fiction; Dogs -- Juvenile fiction; Families -- Juvenile fiction; Infants -- Juvenile fiction; Mothers and sons -- Juvenile fiction,Category: Children & Young Adult Reading; Category: Parenthood & Family Relations,en,225,Text,False
35726,The United States and the War,"Murray, Gilbert","Neutrality -- United States; United States -- Defenses; World War, 1914-1918 -- Causes; World War, 1914-1918 -- United States",Category: History - American; Category: History - British; Category: History - Modern (1750+),en,225,Text,False
